,cpu_load,mem_avail,timestamp
336,60.6,25772511232,1526055031065.929
337,59.5,25772244992,1526055031266.1802
338,62.1,25771294720,1526055031464.338
339,64.9,25768050688,1526055031669.433
340,59.1,25772199936,1526055031863.977
341,61.8,25762816000,1526055032066.0215
342,59.2,25763184640,1526055032264.0632
343,53.6,25763282944,1526055032464.376
344,57.4,25735081984,1526055032664.4893
345,53.5,25738584064,1526055032864.2551
346,48.4,25739091968,1526055033064.1497
347,49.4,25738854400,1526055033264.8843
348,52.6,25739419648,1526055033464.1833
349,51.6,25739427840,1526055033664.0957
350,47.1,25742774272,1526055033864.2263
351,46.6,25742024704,1526055034063.968
352,43.3,25740034048,1526055034263.8394
353,48.4,25740177408,1526055034464.3423
354,47.7,25743568896,1526055034663.9404
355,41.8,25743540224,1526055034864.2825
356,40.4,25743069184,1526055035064.4802
357,40.1,25743536128,1526055035264.1711
358,44.5,25741524992,1526055035464.1926
359,42.8,25743036416,1526055035663.9966
360,36.4,25762955264,1526055035864.1804
361,35.9,25763127296,1526055036063.98
362,31.8,25762435072,1526055036264.1064
363,34.0,25763028992,1526055036464.0012
364,35.3,25762930688,1526055036664.3481
