,cpu_load,mem_avail,timestamp,run,run_start_cutoff,run_end_cutoff
243,78.7,26100715520,1526055362276.0261,0,1526055328825.4666,1526055388017.6387
244,90.4,26100588544,1526055362480.7258,0,1526055328825.4666,1526055388017.6387
245,90.2,26107379712,1526055362674.6958,0,1526055328825.4666,1526055388017.6387
246,86.1,26101555200,1526055362877.4531,0,1526055328825.4666,1526055388017.6387
247,86.8,26101497856,1526055363074.8337,0,1526055328825.4666,1526055388017.6387
248,89.7,26101526528,1526055363273.1956,0,1526055328825.4666,1526055388017.6387
249,91.6,26098745344,1526055363475.0642,0,1526055328825.4666,1526055388017.6387
250,92.3,26102054912,1526055363674.379,0,1526055328825.4666,1526055388017.6387
251,87.9,26098438144,1526055363877.4563,0,1526055328825.4666,1526055388017.6387
252,87.2,26095177728,1526055364072.9436,0,1526055328825.4666,1526055388017.6387
253,89.1,26097442816,1526055364275.0256,0,1526055328825.4666,1526055388017.6387
254,69.9,26099613696,1526055364472.6282,0,1526055328825.4666,1526055388017.6387
255,85.6,26099441664,1526055364677.9639,0,1526055328825.4666,1526055388017.6387
256,92.8,26098782208,1526055364873.4697,0,1526055328825.4666,1526055388017.6387
257,91.5,26101792768,1526055365074.2756,0,1526055328825.4666,1526055388017.6387
258,86.5,26098409472,1526055365276.0981,0,1526055328825.4666,1526055388017.6387
259,88.4,26101669888,1526055365474.1458,0,1526055328825.4666,1526055388017.6387
260,88.2,26101522432,1526055365674.251,0,1526055328825.4666,1526055388017.6387
261,89.8,26101510144,1526055365878.2832,0,1526055328825.4666,1526055388017.6387
262,88.0,26102251520,1526055366077.4285,0,1526055328825.4666,1526055388017.6387
263,87.1,26101444608,1526055366275.8845,0,1526055328825.4666,1526055388017.6387
264,89.7,26104619008,1526055366480.4214,0,1526055328825.4666,1526055388017.6387
265,92.7,26104561664,1526055366673.457,0,1526055328825.4666,1526055388017.6387
266,89.8,26107752448,1526055366877.0835,0,1526055328825.4666,1526055388017.6387
267,89.7,26104946688,1526055367077.5798,0,1526055328825.4666,1526055388017.6387
268,91.9,26101510144,1526055367274.002,0,1526055328825.4666,1526055388017.6387
269,89.7,26105503744,1526055367477.5237,0,1526055328825.4666,1526055388017.6387
270,89.0,26105462784,1526055367677.4775,0,1526055328825.4666,1526055388017.6387
271,85.3,26108592128,1526055367877.4155,0,1526055328825.4666,1526055388017.6387
272,88.8,26107416576,1526055368074.1672,0,1526055328825.4666,1526055388017.6387
273,90.9,26104840192,1526055368277.5405,0,1526055328825.4666,1526055388017.6387
274,80.4,26108428288,1526055368472.8914,0,1526055328825.4666,1526055388017.6387
275,83.6,26109038592,1526055368672.8098,0,1526055328825.4666,1526055388017.6387
276,81.9,26108919808,1526055368877.7798,0,1526055328825.4666,1526055388017.6387
277,82.9,26108473344,1526055369074.8882,0,1526055328825.4666,1526055388017.6387
278,80.4,26107760640,1526055369273.2664,0,1526055328825.4666,1526055388017.6387
279,88.4,26107916288,1526055369479.3098,0,1526055328825.4666,1526055388017.6387
280,87.2,26107609088,1526055369677.7014,0,1526055328825.4666,1526055388017.6387
281,85.9,26107219968,1526055369873.13,0,1526055328825.4666,1526055388017.6387
282,83.0,26109239296,1526055370076.0632,0,1526055328825.4666,1526055388017.6387
283,79.4,26106802176,1526055370273.3782,0,1526055328825.4666,1526055388017.6387
284,89.3,26108215296,1526055370473.3357,0,1526055328825.4666,1526055388017.6387
285,86.6,26110005248,1526055370677.541,0,1526055328825.4666,1526055388017.6387
286,88.6,26110251008,1526055370873.4229,0,1526055328825.4666,1526055388017.6387
287,84.7,26112585728,1526055371074.0745,0,1526055328825.4666,1526055388017.6387
288,84.8,26110021632,1526055371273.6123,0,1526055328825.4666,1526055388017.6387
289,88.7,26109431808,1526055371473.4807,0,1526055328825.4666,1526055388017.6387
290,89.9,26112831488,1526055371674.2014,0,1526055328825.4666,1526055388017.6387
291,89.7,26110664704,1526055371873.0322,0,1526055328825.4666,1526055388017.6387
292,88.3,26109620224,1526055372073.104,0,1526055328825.4666,1526055388017.6387
293,88.1,26109399040,1526055372273.31,0,1526055328825.4666,1526055388017.6387
294,93.8,26103275520,1526055372481.4822,0,1526055328825.4666,1526055388017.6387
295,94.1,26109161472,1526055372673.813,0,1526055328825.4666,1526055388017.6387
296,91.0,26106441728,1526055372874.7861,0,1526055328825.4666,1526055388017.6387
297,93.6,26109980672,1526055373076.6436,0,1526055328825.4666,1526055388017.6387
298,92.5,26104541184,1526055373274.07,0,1526055328825.4666,1526055388017.6387
299,93.0,26102460416,1526055373473.3923,0,1526055328825.4666,1526055388017.6387
300,91.0,26110459904,1526055373674.266,0,1526055328825.4666,1526055388017.6387
301,92.3,26103812096,1526055373874.137,0,1526055328825.4666,1526055388017.6387
302,93.5,26100228096,1526055374073.635,0,1526055328825.4666,1526055388017.6387
303,90.4,26098868224,1526055374273.6929,0,1526055328825.4666,1526055388017.6387
304,93.5,26098098176,1526055374476.3054,0,1526055328825.4666,1526055388017.6387
305,95.5,26096771072,1526055374674.0547,0,1526055328825.4666,1526055388017.6387
306,94.8,26094575616,1526055374872.7087,0,1526055328825.4666,1526055388017.6387
307,92.1,26097975296,1526055375077.6597,0,1526055328825.4666,1526055388017.6387
308,89.7,26101854208,1526055375277.8801,0,1526055328825.4666,1526055388017.6387
309,91.3,26098634752,1526055375478.339,0,1526055328825.4666,1526055388017.6387
310,92.9,26101055488,1526055375678.1128,0,1526055328825.4666,1526055388017.6387
311,91.4,26093309952,1526055375876.1128,0,1526055328825.4666,1526055388017.6387
312,91.8,26096758784,1526055376073.0854,0,1526055328825.4666,1526055388017.6387
313,91.1,26097729536,1526055376276.7432,0,1526055328825.4666,1526055388017.6387
314,89.9,26096414720,1526055376475.0583,0,1526055328825.4666,1526055388017.6387
315,85.8,26102992896,1526055376677.146,0,1526055328825.4666,1526055388017.6387
316,92.1,26094374912,1526055376875.9524,0,1526055328825.4666,1526055388017.6387
317,95.4,26099687424,1526055377072.847,0,1526055328825.4666,1526055388017.6387
318,90.7,26096123904,1526055377277.9849,0,1526055328825.4666,1526055388017.6387
319,94.2,26093780992,1526055377476.5847,0,1526055328825.4666,1526055388017.6387
320,91.1,26095116288,1526055377674.713,0,1526055328825.4666,1526055388017.6387
321,93.7,26094452736,1526055377874.253,0,1526055328825.4666,1526055388017.6387
322,86.9,26099015680,1526055378073.8767,0,1526055328825.4666,1526055388017.6387
323,89.1,26095501312,1526055378275.2024,0,1526055328825.4666,1526055388017.6387
324,93.9,26100228096,1526055378479.4375,0,1526055328825.4666,1526055388017.6387
325,90.4,26097844224,1526055378674.5098,0,1526055328825.4666,1526055388017.6387
